i	j	k	Dose(Gy)       proton_1       proton_1       proton         proton         O16            O16            
335	0	0	7.46327e-09    7.46327e-09    26             0              0              0              0              
336	0	0	7.58375e-09    7.58375e-09    26             0              0              0              0              
337	0	0	7.7839e-09     7.7839e-09     26             0              0              0              0              
338	0	0	7.61146e-09    7.61146e-09    26             0              0              0              0              
339	0	0	7.66615e-09    7.66615e-09    26             0              0              0              0              
340	0	0	7.74067e-09    7.74067e-09    26             0              0              0              0              
341	0	0	8.35614e-09    8.35614e-09    26             0              0              0              0              
342	0	0	8.2864e-09     8.2864e-09     26             0              0              0              0              
343	0	0	8.98441e-09    8.98441e-09    26             0              0              0              0              
344	0	0	9.35364e-09    9.35364e-09    26             0              0              0              0              
345	0	0	9.09203e-09    9.09203e-09    26             0              0              0              0              
346	0	0	8.17231e-09    8.17231e-09    25             0              0              0              0              
347	0	0	8.27108e-09    8.27108e-09    25             0              0              0              0              
348	0	0	8.37553e-09    8.37553e-09    25             0              0              0              0              
349	0	0	8.53051e-09    8.53051e-09    25             0              0              0              0              
350	0	0	8.84014e-09    8.84014e-09    25             0              0              0              0              
351	0	0	8.91319e-09    8.91319e-09    25             0              0              0              0              
352	0	0	9.00707e-09    9.00707e-09    25             0              0              0              0              
353	0	0	9.16919e-09    9.16919e-09    25             0              0              0              0              
354	0	0	9.31769e-09    9.31769e-09    25             0              0              0              0              
355	0	0	9.6171e-09     9.6171e-09     25             0              0              0              0              
356	0	0	9.94273e-09    9.94273e-09    25             0              0              0              0              
357	0	0	1.05177e-08    1.05177e-08    25             0              0              0              0              
358	0	0	1.05058e-08    1.05058e-08    25             0              0              0              0              
359	0	0	1.08961e-08    1.08961e-08    25             0              0              0              0              
360	0	0	1.14622e-08    1.14622e-08    25             0              0              0              0              
361	0	0	1.18693e-08    1.18693e-08    25             0              0              0              0              
362	0	0	1.24398e-08    1.24398e-08    25             0              0              0              0              
363	0	0	1.31096e-08    1.31096e-08    25             0              0              0              0              
364	0	0	1.34907e-08    1.34907e-08    25             0              0              0              0              
365	0	0	1.46591e-08    1.46591e-08    25             0              0              0              0              
366	0	0	1.59378e-08    1.59378e-08    25             0              0              0              0              
367	0	0	1.77699e-08    1.77699e-08    25             0              0              0              0              
368	0	0	2.12288e-08    2.12288e-08    25             0              0              0              0              
369	0	0	2.08144e-08    2.08144e-08    25             0              0              0              0              
370	0	0	1.87867e-08    1.87867e-08    21             0              0              0              0              
371	0	0	2.21973e-08    2.21973e-08    20             0              0              0              0              
372	0	0	2.08422e-08    2.08422e-08    17             0              0              0              0              
373	0	0	1.32176e-08    1.32176e-08    12             0              0              0              0              
374	0	0	8.75345e-09    8.75345e-09    8              0              0              0              0              
375	0	0	6.97789e-09    6.97789e-09    6              0              0              0              0              
376	0	0	4.23411e-09    4.23411e-09    4              0              0              0              0              
377	0	0	5.46867e-09    5.46867e-09    4              0              0              0              0              
378	0	0	2.1392e-09     2.1392e-09     2              0              0              0              0              
379	0	0	3.29121e-09    3.29121e-09    2              0              0              0              0              
380	0	0	2.53155e-09    2.53155e-09    2              0              0              0              0              
